StoreCode,StoreName
B23543,Plaridel Misamis Occidental
B23555,Tamontaka Maguindanao
B23579,SM Hypermarket Fairview Quezon City
B23582,SM Hypermarket Deca Mall Manila
B23594,SM Hypermarket Sun Residences Quezon City
B23605,SM Hypermarket Mandaluyong Metro Manila
B23617,Robinsons Place Dasmarinas Cavite
B23629,Festival Mall Alabang Muntinlupa
B23632,SM Savemore Tacloban Leyte
B23656,Rizal Don Carlos Bukidnon
B23668,Poblacion Guipos Zamboanga del Sur
B23683,Bagumbayan 2 Maribago Lapulapu City
B23695,St. Joseph Center San Jose de Buenavista Antique
B23706,Esprutingkle Bus. Hotel San Jose de Buenavista Antique
B23718,Baybay Liloy Zamboanga del Norte
B23721,Burgos Rodriguez Rizal
B23745,SM Cherry Shaw Mandaluyong City
B23757,SM Megamall Bus Terminal Mandaluyong City
B23769,Manna Mall San Fernando La Union
B23807,Poblacion Kabasalan Zamboanga Sibugay
B23819,RT Lim Zamboanga Sibugay
B23834,Poblacion San Pablo Laguna
B23846,Garden Villas Sta. Rosa Laguna
B23861,Aglayan Malaybalay Bukidnon
B23873,VH Garces Tangke Talisay
B23885,Balic-Balic Sampaloc Manila
B23908,Sta. Cruz Laguna
B23923,National Highway Tibungco Davao City
B23947,One Ayala Mall Bus Terminal Makati City
B23962,Quirino Avenue Baclaran Paranaque
B23974,Gagalangin Tondo
B23986,Cogon Tagbilaran Bohol
B23998,Tankulan Manolo Fortich Bukidnon
B24013,Mabitangen Coron Palawan
B24025,Wilcon City Center Quezon City
B24037,Jagna Bohol
B24049,UB Tagbilaran Bohol
B24052,Dayangdang Naga City Camarines Sur
B24064,Savemore Carcar Cebu
B24076,San Vicente Carcar Cebu
B24091,Rizal Bukidnon
B24102,Quezon Bukidnon
B24114,SM Megacenter Cabanatuan City
B24126,Cabanatuan Central Terminal Cabanatuan City
B24138,Sun Star Mall Sta. Cruz Laguna
B24153,Ulha Village Talomo Davao City
B24177,Principe San Jose de Buenavista Antique
B24189,Ligtasan Tarlac
B24203,Metro Central Mall Sta. Cruz Laguna
B24215,NE Pacific Mall Cabanatuan City
B24227,My Metro Town Mall Tarlac City
B24239,Market City Tarlac City
B24242,Waltermart Cabanatuan Cabanatuan City
B24254,Poblacion Sur Rizal Nueva Ecija
B24266,C. Padilla - T. Abella Cebu City
B24278,Halina Hotel Pasay City
B24281,SM Supermarket Sangandaan Caloocan City
B24293,P. Ouano Alang-alang Mandaue
B24304,Iba Meycauayan City
B24316,Litex Commonwealth Quezon City
B24328,Tuburan New Public Market Cebu
B24331,Olutanga Zamboanga Sibugay
B24343,Ayala South Park Alabang
B24355,Poblacion Marilao Bulacan
B24379,SM Supermarket Cabanatuan Nueva Ecija
B24382,J. A. Santos Digos City
B24394,Tambongon San Remigio Cebu
B24405,Guinsay Danao City Cebu
B24417,Sto. Nino Gapan Nueva Ecija
B24432,San Pedro Pagadian City
B24444,Bagumbayan Masbate City
B24456,Nursery Masbate City
B24468,Waltermart Gapan Gapan City
B24483,N. Bacalso Sibonga Cebu
B24495,Centro Sur Culasi Antique
B24506,Ubay Bohol
B24518,Claveria Misamis Oriental
B24521,SM Supermarket North Edsa Quezon City
B24533,Lower Ipil Heights Zamboanga Sibugay
B24557,New Cabalan Olongapo City
B24569,CLA Town Center Mall Pagsanjan
B24572,SM City Lipa Grand Terminal Batangas
B24584,Carbon Market Interim Cebu City
B24596,Freedom Park Carbon Cebu
B24619,Bacayan 2 Cebu City
B24622,Lopez Jaena Sur Jaro Iloilo City
B24634,Poblacion Talisay Cebu
B24658,Poblacion 2 Hamtic Antique
B24673,Project 6 Quezon City
B24685,Savemore Market P. Tuazon Quezon City
B24711,SM Supermarket Manila Manila
B24723,Waltermart Caloocan Caloocan City
B24735,Rosario Public Market Batangas
B24747,Purok Bombshell Lapulapu City
B24759,Lopez Jaena Lapulapu City
B24762,Waltermart Cabuyao Laguna
B24786,El Camino Real Meycauayan City
B24809,Poblacion 5 Balayan Batangas
B24812,Pitogo Consolacion 2
B24836,Robinsons Novaliches Quezon City
B24848,Puregold GMA Cavite
B24851,Nagaland E-Mall Naga City Camarines Sur
B24899,Graceland Plaza Marikina Metro Manila
B24913,SM Hypermarket Jaro Iloilo City
B24976,Robinsons Imus Cavite
